Username,Rank,Title,Artist,Genre,Album,Number of Plays
80ocu1VbdY,10,Troublemaker,Olly Murs,Pop,Right Place Right Time,60
dQTrbKB8EP,1,Holding Onto You,Twenty One Pilots,Rock,Vessel,100
dQTrbKB8EP,2,Taxi Cab,Twenty One Pilots,Rock,Twenty One Pilots,100
dQTrbKB8EP,3,Soul Meets Body,Death Cab For Cutie,Indie,Plans,100
dQTrbKB8EP,4,Next Semester,Twenty One Pilots,Rock,Clancy,100
dQTrbKB8EP,5,Bandito,Twenty One Pilots,Rock,Trench,100
8ieLGXjjdw,1,Guiding Ahead Boss Battle Theme - Martyr,Monster Siren Records / Hypergryph,EDM,Arknights - Guiding Ahead Side Story,2000
dQTrbKB8EP,6,Transantlanticism,Death Cab For Cutie,Indie,Translantacism,100
8ieLGXjjdw,2,Shantien Phase 4/4 Battle Theme : Imperial Wrath of the Azure Dragon - Shantien,Hideyuki Fukasawa?| CAPCOM,Video Soundtrack,Monster Hunter Frontier G,3000
dQTrbKB8EP,7,Tally,Twenty One Pilots,Rock,Breach,100
8ieLGXjjdw,3,TIAN TIAN,Mili,Pop,Limbus Company,300
8ieLGXjjdw,4,Ambiguous Morality,Adam Gubman| Monster Siren Records| Arknights,Video Soundtrack,Arknights - I Portatori Dei Velluti Side Story,600
8ieLGXjjdw,5,Der Hexenkonig,Lappy| Monster Siren Records| Hypergryph,Orchestral,Arknights - Zwillingsturme Im Herbst Side Story,700
dQTrbKB8EP,8,Fluorescent Adolescent,Arctic Monkeys,Rock,Favourite Worst Nightmare,100
8ieLGXjjdw,6,Intervallo VI-EX Boss 3 Battle Theme,Studio EIM| Monster Siren Records,Video Soundtrack,Limbus Company - Pilgrimage of Compassion Intervallo,250
8ieLGXjjdw,7,Canto VI Boss 4 Battle Theme,Studio EIM,Video Soundtrack,Limbus Company - Canto VI The Heartbreaking,1200
dQTrbKB8EP,9,Jed's Other Poem (Beautiful Ground),Grandaddy,Alternative,The Sophtware Slump,100
8ieLGXjjdw,8,Children of the City,Mili,Video Soundtrack,To Kill a Living Book for Library of Ruina,800
dQTrbKB8EP,10,Isolation,Balu Brigada,Pop,Portal,100
8ieLGXjjdw,9,G-Rank Great Forest Battle| An Ocean of Endless Green - Great Forest (G-Rank),Hideyuki Fukasawa| CAPCOM,Video Soundtrack,Monster Hunter Frontier G,1800
8ieLGXjjdw,10,Vaal Hazak Battle Theme : Keeper of Hades - Vaal Hazak,Akihiko Narita| CAPCOM,Video Soundtrack,Monster Hunter World,1000
3AWPRVb9Pd,1,Dogs,Nouns,Lofi,Still Bummed,200
3AWPRVb9Pd,2,Ballad of Big Nothing,Elliott Smith,Indie,Either/Or,120
3AWPRVb9Pd,3,Send it to Oslo,Sparky Deathcap,Folk,Tear Jerky,100
3AWPRVb9Pd,4,Cody's Theme,AJJ,Folk,The Bible 2,150
yvuNAZL4W7,1,East Side of Sorrow,Zach Bryan,Country,Zach Bryan (self titled album),500
3AWPRVb9Pd,5,Holland 1945,Neutral Milk Hotel,Rock,In the Aeroplane Over the Sea,130
3AWPRVb9Pd,6,Still Bummed,Nouns,Lofi,Still Bummed,90
yvuNAZL4W7,2,Mona Lisa,Lil Wayne| Kendrick Lamar,Rap,Tha Carter V,500
3AWPRVb9Pd,7,In the Aeroplane Over the Sea,Neutral Milk Hotel,Indie,In the Aeroplane Over the Sea,200
3AWPRVb9Pd,8,Jigsaw Falling into Place,Radiohead,Rock,In Rainbows,80
3AWPRVb9Pd,9,Where am I,Title Fight,Indie,Shed,60
yvuNAZL4W7,3,Rattlesnake,Jack Van Cleaf,Folk,Fruit from the trees,450
3AWPRVb9Pd,10,The Room is Filled with People that Love you,Foresight,Rock,The Room is filled with People that Love you,100
yvuNAZL4W7,4,Dreams,The Cranberries,Rock,Everybody Else Is Doing It| So Why Can't We?,400
ZiGgWPNZTd,1,Blinding Lights,The Weeknd,Pop,After Hours,320
ZiGgWPNZTd,2,Bohemian Rhapsody,Queen,Rock,A Night at the Opera,292
ZiGgWPNZTd,3,Bad Habit,Steve Lacy,R&B,Gemini Rights,256
ZiGgWPNZTd,4,Dreams,Fleetwood Mac,Rock,Rumours,243
ZiGgWPNZTd,5,Uptown Funk,Mark Ronson ft. Bruno Mars,Pop,Uptown Special,227
ZiGgWPNZTd,6,Billie Jean,Michael Jackson,Pop,Thriller,211
ZiGgWPNZTd,7,Levitating,Dua Lipa,Pop,Future Nostalgia,200
yvuNAZL4W7,5,Sorry 4 The Wait,Lil Wayne,Rap,Sorry 4 The Wait (single),300
ZiGgWPNZTd,8,Smells Like Teen Spirit,Nirvana,Alternative,Nevermind,185
ZiGgWPNZTd,9,Shape of You,Ed Sheeran,Pop,÷ (Divide),179
ZiGgWPNZTd,10,Don’t Stop Believin’,Journey,Rock,Escape,153
yvuNAZL4W7,6,Starved,Zach Bryan,Country,Starved,200
yvuNAZL4W7,7,Hurt,Johnny Cash,Country,Hurt,100
yvuNAZL4W7,8,Maps,Maroon V,Pop,V,1000
yvuNAZL4W7,9,The Whale Song,Solas,Rock,The Hour Before Dawn,300
yvuNAZL4W7,10,She's Alright,Zach Bryan,Country,American Heartbreakq,100
XBKFTF94Hv,1,Movie Star,Jack Harlow,Rap,Come Home the Kids Miss You,100
